delay_us,lfm_db,tangent_db,kaiser_posp_db,fosm_db
3.645833e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.649902e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.653971e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.658040e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.662109e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.666178e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.670247e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.674316e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.678385e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.682454e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.686523e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.690592e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.694661e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.698730e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.702799e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.706868e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.710938e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.715007e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.719076e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.723145e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.727214e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.731283e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.735352e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.739421e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.743490e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.747559e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.751628e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.755697e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.759766e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.763835e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.767904e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.771973e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.776042e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.780111e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.784180e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.788249e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.792318e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.796387e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.800456e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.804525e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.808594e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.812663e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.816732e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.820801e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.824870e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.828939e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.833008e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.837077e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.841146e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.845215e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.849284e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.853353e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.857422e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.861491e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.865560e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.869629e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.873698e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.877767e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.881836e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.885905e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.889974e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.894043e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.898112e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.902181e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.906250e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.910319e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.914388e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.918457e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.922526e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.926595e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.930664e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.934733e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.938802e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.942871e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.946940e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.951009e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.955078e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.959147e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.963216e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.967285e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.971354e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.975423e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.979492e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.983561e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.987630e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.991699e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.995768e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
3.999837e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
